dive_number,date,prompt_number,prompt,accepted_answers,tier,points,answer
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Allen
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Antioch
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Arvada
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Avondale
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Brockton
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Broken Arrow
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Buckeye
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Carrollton
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Centennial
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Deep cut,85,Chico
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Abilene
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Akron
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Albany
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Alexandria
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Allentown
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Amarillo
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Ann Arbor
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Athens
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,Augusta
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Rare,60,"Aurora, Colorado"
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Albuquerque
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Anaheim
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Anchorage
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Arlington
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Austin
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Bakersfield
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Baltimore
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Baton Rouge
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Birmingham
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Schooler,30,Boise
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Atlanta
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Boston
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Chicago
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Dallas
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Denver
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Houston
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Las Vegas
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Los Angeles
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,Miami
71,2026-09-24,1,"Name a US city with over 100,000 people",348,Plankton,10,New York City
71,2026-09-24,2,Name a country that borders China,14,Rare,60,Afghanistan
71,2026-09-24,2,Name a country that borders China,14,Rare,60,Bhutan
71,2026-09-24,2,Name a country that borders China,14,Schooler,30,Kazakhstan
71,2026-09-24,2,Name a country that borders China,14,Schooler,30,Laos
71,2026-09-24,2,Name a country that borders China,14,Schooler,30,Myanmar
71,2026-09-24,2,Name a country that borders China,14,Schooler,30,Nepal
71,2026-09-24,2,Name a country that borders China,14,Schooler,30,Pakistan
71,2026-09-24,2,Name a country that borders China,14,Plankton,10,India
71,2026-09-24,2,Name a country that borders China,14,Plankton,10,Mongolia
71,2026-09-24,2,Name a country that borders China,14,Plankton,10,North Korea
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Aebleskiver maker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,AGA
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Arepa maker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Automatic pan stirrer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Baby food maker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Baby formula maker
